"hgnc_symbol","uniprotswissprot","interpro","interpro_description"
"F9","P00740","IPR000152","EGF-type aspartate/asparagine hydroxylation site"
"F9","P00740","IPR000294","Gamma-carboxyglutamic acid-rich (GLA) domain"
"F9","P00740","IPR000742","EGF-like domain"
"F9","P00740","IPR001254","Serine proteases, trypsin domain"
"F9","P00740","IPR001314","Peptidase S1A, chymotrypsin family"
"F9","P00740","IPR001881","EGF-like calcium-binding domain"
"F9","P00740","IPR009003","Peptidase S1, PA clan"
"F9","P00740","IPR013032","EGF-like, conserved site"
"F9","P00740","IPR017857","Coagulation factor, subgroup, Gla domain"
"F9","P00740","IPR018097","EGF-like calcium-binding, conserved site"
"F9","P00740","IPR018114","Serine proteases, trypsin family, histidine active site"
"F9","P00740","IPR033116","Serine proteases, trypsin family, serine active site"
"F10","P00742","IPR000152","EGF-type aspartate/asparagine hydroxylation site"
"F10","P00742","IPR000294","Gamma-carboxyglutamic acid-rich (GLA) domain"
"F10","P00742","IPR000742","EGF-like domain"
"F10","P00742","IPR001254","Serine proteases, trypsin domain"
"F10","P00742","IPR001314","Peptidase S1A, chymotrypsin family"
"F10","P00742","IPR001881","EGF-like calcium-binding domain"
"F10","P00742","IPR009003","Peptidase S1, PA clan"
"F10","P00742","IPR013032","EGF-like, conserved site"
"F10","P00742","IPR017857","Coagulation factor, subgroup, Gla domain"
"F10","P00742","IPR018097","EGF-like calcium-binding, conserved site"
"F10","P00742","IPR018114","Serine proteases, trypsin family, histidine active site"
"F10","P00742","IPR033116","Serine proteases, trypsin family, serine active site"
"PLG","P00747","IPR000001","Kringle"
"PLG","P00747","IPR001254","Serine proteases, trypsin domain"
"PLG","P00747","IPR001314","Peptidase S1A, chymotrypsin family"
"PLG","P00747","IPR003609","PAN/Apple domain"
"PLG","P00747","IPR009003","Peptidase S1, PA clan"
"PLG","P00747","IPR013806","Kringle-like fold"
"PLG","P00747","IPR018056","Kringle, conserved site"
"PLG","P00747","IPR018114","Serine proteases, trypsin family, histidine active site"
"PLG","P00747","IPR023317","Peptidase S1A, plasmin"
"PLG","P00747","IPR033116","Serine proteases, trypsin family, serine active site"
"PLAU","P00749","IPR000001","Kringle"
"PLAU","P00749","IPR000742","EGF-like domain"
"PLAU","P00749","IPR001254","Serine proteases, trypsin domain"
"PLAU","P00749","IPR001314","Peptidase S1A, chymotrypsin family"
"PLAU","P00749","IPR009003","Peptidase S1, PA clan"
"PLAU","P00749","IPR013032","EGF-like, conserved site"
"PLAU","P00749","IPR013806","Kringle-like fold"
"PLAU","P00749","IPR018056","Kringle, conserved site"
"PLAU","P00749","IPR018114","Serine proteases, trypsin family, histidine active site"
"PLAU","P00749","IPR033116","Serine proteases, trypsin family, serine active site"
"PLAT","P00750","IPR000001","Kringle"
"PLAT","P00750","IPR000083","Fibronectin, type I"
"PLAT","P00750","IPR000742","EGF-like domain"
"PLAT","P00750","IPR001254","Serine proteases, trypsin domain"
"PLAT","P00750","IPR001314","Peptidase S1A, chymotrypsin family"
"PLAT","P00750","IPR009003","Peptidase S1, PA clan"
"PLAT","P00750","IPR013032","EGF-like, conserved site"
"PLAT","P00750","IPR013806","Kringle-like fold"
"PLAT","P00750","IPR018056","Kringle, conserved site"
"PLAT","P00750","IPR018114","Serine proteases, trypsin family, histidine active site"
"PLAT","P00750","IPR026280","Tissue plasminogen activator"
"PLAT","P00750","IPR033116","Serine proteases, trypsin family, serine active site"
"REN","P00797","IPR001461","Aspartic peptidase A1 family"
"REN","P00797","IPR001969","Aspartic peptidase, active site"
"REN","P00797","IPR012848","Aspartic peptidase, N-terminal"
"REN","P00797","IPR021109","Aspartic peptidase domain"
"REN","P00797","IPR033121","Peptidase family A1 domain"
"SERPINA1","P01009","IPR000215","Serpin family"
"SERPINA1","P01009","IPR023795","Serpin, conserved site"
"SERPINA1","P01009","IPR023796","Serpin domain"
"SERPINA1","P01009","",""
"SERPINA3","P01011","",""
"SERPINA3","P01011","IPR000215","Serpin family"
"SERPINA3","P01011","IPR023795","Serpin, conserved site"
"SERPINA3","P01011","IPR023796","Serpin domain"
"C3","P01024","IPR000020","Anaphylatoxin/fibulin"
"C3","P01024","IPR001134","Netrin domain"
"C3","P01024","IPR001599","Alpha-2-macroglobulin"
"C3","P01024","IPR001840","Anaphylatoxin, complement system domain"
"C3","P01024","IPR002890","Alpha-2-macroglobulin, N-terminal"
"C3","P01024","IPR008930","Terpenoid cyclases/protein prenyltransferase alpha-alpha toroid"
"C3","P01024","IPR008993","Tissue inhibitor of metalloproteinases-like, OB-fold"
"C3","P01024","IPR009048","Alpha-macroglobulin, receptor-binding"
"C3","P01024","IPR011625","Alpha-2-macroglobulin, N-terminal 2"
"C3","P01024","IPR011626","Alpha-macroglobulin complement component"
"C3","P01024","IPR018081","Anaphylatoxin, complement system"
"C3","P01024","IPR018933","Netrin module, non-TIMP type"
"C3","P01024","IPR019565","Alpha-2-macroglobulin, thiol-ester bond-forming"
"C3","P01024","IPR019742","Alpha-2-macroglobulin, conserved site"
"TIMP1","P01033","IPR001134","Netrin domain"
"TIMP1","P01033","IPR001820","Protease inhibitor I35 (TIMP)"
"TIMP1","P01033","IPR008993","Tissue inhibitor of metalloproteinases-like, OB-fold"
"TIMP1","P01033","IPR015611","Metalloproteinase inhibitor 1"
"TIMP1","P01033","IPR027465","Proteinase inhibitor I35b (TIMP), C-terminal"
"TIMP1","P01033","IPR030490","Tissue inhibitor of metalloproteinase, conserved site"
"MYC","P01106","IPR002418","Transcription regulator Myc"
"MYC","P01106","IPR003327","Leucine zipper, Myc"
"MYC","P01106","IPR011598","Myc-type, basic helix-loop-helix (bHLH) domain"
"MYC","P01106","IPR012682","Transcription regulator Myc, N-terminal"
"LDLR","P01130","IPR000033","LDLR class B repeat"
"LDLR","P01130","IPR000152","EGF-type aspartate/asparagine hydroxylation site"
"LDLR","P01130","IPR000742","EGF-like domain"
"LDLR","P01130","IPR001881","EGF-like calcium-binding domain"
"LDLR","P01130","IPR002172","Low-density lipoprotein (LDL) receptor class A repeat"
"LDLR","P01130","IPR009030","Growth factor receptor cysteine-rich domain"
"LDLR","P01130","IPR011042","Six-bladed beta-propeller, TolB-like"
"LDLR","P01130","IPR013032","EGF-like, conserved site"
"LDLR","P01130","IPR018097","EGF-like calcium-binding, conserved site"
"LDLR","P01130","IPR023415","Low-density lipoprotein (LDL) receptor class A, conserved site"
"CGA","P01215","IPR000476","Glycoprotein hormone alpha chain"
"CGA","P01215","IPR029034","Cystine-knot cytokine"
"FSHB","P01225","IPR001545","Gonadotropin, beta subunit"
"FSHB","P01225","IPR006208","Glycoprotein hormone subunit beta, cystine knot"
"FSHB","P01225","IPR018245","Gonadotropin, beta subunit, conserved site"
"FSHB","P01225","IPR029034","Cystine-knot cytokine"
"LHB","P01229","IPR001545","Gonadotropin, beta subunit"
"LHB","P01229","IPR006208","Glycoprotein hormone subunit beta, cystine knot"
"LHB","P01229","IPR018245","Gonadotropin, beta subunit, conserved site"
"LHB","P01229","IPR029034","Cystine-knot cytokine"
"TG","P01266","IPR000716","Thyroglobulin type-1"
"TG","P01266","IPR002018","Carboxylesterase, type B"
"TG","P01266","IPR011641","Tyrosine-protein kinase ephrin type A/B receptor-like"
"TG","P01266","IPR019819","Carboxylesterase type B, conserved site"
"TG","P01266","IPR029058","Alpha/Beta hydrolase fold"
"LTA","P01374","IPR002960","Lymphotoxin-alpha"
"LTA","P01374","IPR006052","Tumour necrosis factor domain"
"LTA","P01374","IPR006053","Tumour necrosis factor"
"LTA","P01374","IPR008983","Tumour necrosis factor-like domain"
"LTA","P01374","IPR021184","Tumour necrosis factor, conserved site"
"TNF","P01375","IPR002959","Tumour necrosis factor alpha"
"TNF","P01375","IPR006052","Tumour necrosis factor domain"
"TNF","P01375","IPR006053","Tumour necrosis factor"
"TNF","P01375","IPR008983","Tumour necrosis factor-like domain"
"TNF","P01375","IPR021184","Tumour necrosis factor, conserved site"
"IFNA2","P01563","IPR000471","Interferon alpha/beta/delta"
"IFNA2","P01563","IPR009079","Four-helical cytokine-like, core"
"IFNA14","P01570","IPR000471","Interferon alpha/beta/delta"
"IFNA14","P01570","IPR009079","Four-helical cytokine-like, core"
"IFNB1","P01574","IPR000471","Interferon alpha/beta/delta"
"IFNB1","P01574","IPR009079","Four-helical cytokine-like, core"
"IFNB1","P01574","IPR015588","Interferon beta"
"IFNG","P01579","IPR002069","Interferon gamma"
"IFNG","P01579","IPR009079","Four-helical cytokine-like, core"
"EPO","P01588","IPR001323","Erythropoietin/thrombopoeitin"
"EPO","P01588","IPR003013","Erythropoietin"
"EPO","P01588","IPR009079","Four-helical cytokine-like, core"
"EPO","P01588","IPR019767","Erythropoietin/thrombopoeitin, conserved site"
"JCHAIN","P01591","IPR024110","Immunoglobulin J chain"
"CD4","P01730","IPR000973","T-cell surface antigen CD4"
"CD4","P01730","IPR003598","Immunoglobulin subtype 2"
"CD4","P01730","IPR003599","Immunoglobulin subtype"
"CD4","P01730","IPR007110","Immunoglobulin-like domain"
"CD4","P01730","IPR008424","Immunoglobulin C2-set"
"CD4","P01730","IPR013106","Immunoglobulin V-set domain"
"CD4","P01730","IPR013151","Immunoglobulin"
"CD4","P01730","IPR013783","Immunoglobulin-like fold"
"CD4","P01730","IPR015274","CD4, extracellular"
"CD4","P01730","IPR021963","T cell CD4 receptor C-terminal region"
"IGHV4-39","P01824","IPR007110","Immunoglobulin-like domain"
"IGHV4-39","P01824","IPR013106","Immunoglobulin V-set domain"
"IGHV4-39","P01824","IPR013783","Immunoglobulin-like fold"
"IGHM","P01871","IPR003006","Immunoglobulin/major histocompatibility complex, conserved site"
"IGHM","P01871","IPR003597","Immunoglobulin C1-set"
"IGHM","P01871","IPR007110","Immunoglobulin-like domain"
"IGHM","P01871","IPR013783","Immunoglobulin-like fold"
"CRYAA","P02489","IPR001436","Alpha crystallin/Heat shock protein"
"CRYAA","P02489","IPR002068","Alpha crystallin/Hsp20 domain"
"CRYAA","P02489","IPR003090","Alpha-crystallin, N-terminal"
"CRYAA","P02489","IPR008978","HSP20-like chaperone"
"CRYAA","P02489","IPR012274","Alpha-crystallin, subunit A"
"CRYAA","P02489","IPR031107","Small heat shock protein HSP20"
"CRYAB","P02511","IPR001436","Alpha crystallin/Heat shock protein"
"CRYAB","P02511","IPR002068","Alpha crystallin/Hsp20 domain"
"CRYAB","P02511","IPR003090","Alpha-crystallin, N-terminal"
"CRYAB","P02511","IPR008978","HSP20-like chaperone"
"CRYAB","P02511","IPR012273","Alpha-crystallin, subunit B"
"CRYAB","P02511","IPR031107","Small heat shock protein HSP20"
"APOC3","P02656","IPR008403","Apolipoprotein CIII"
"FGA","P02671","IPR002181","Fibrinogen, alpha/beta/gamma chain, C-terminal globular domain"
"FGA","P02671","IPR012290","Fibrinogen, alpha/beta/gamma chain, coiled coil domain"
"FGA","P02671","IPR014715","Fibrinogen, alpha/beta/gamma chain, C-terminal globular, subdomain 2"
"FGA","P02671","IPR014716","Fibrinogen, alpha/beta/gamma chain, C-terminal globular, subdomain 1"
"FGA","P02671","IPR020837","Fibrinogen, conserved site"
"FGA","P02671","IPR021996","Fibrinogen alpha C domain"
"FGB","P02675","IPR002181","Fibrinogen, alpha/beta/gamma chain, C-terminal globular domain"
"FGB","P02675","IPR012290","Fibrinogen, alpha/beta/gamma chain, coiled coil domain"
"FGB","P02675","IPR014715","Fibrinogen, alpha/beta/gamma chain, C-terminal globular, subdomain 2"
"FGB","P02675","IPR014716","Fibrinogen, alpha/beta/gamma chain, C-terminal globular, subdomain 1"
"FGB","P02675","IPR020837","Fibrinogen, conserved site"
"FGG","P02679","IPR002181","Fibrinogen, alpha/beta/gamma chain, C-terminal globular domain"
"FGG","P02679","IPR012290","Fibrinogen, alpha/beta/gamma chain, coiled coil domain"
"FGG","P02679","IPR014715","Fibrinogen, alpha/beta/gamma chain, C-terminal globular, subdomain 2"
"FGG","P02679","IPR014716","Fibrinogen, alpha/beta/gamma chain, C-terminal globular, subdomain 1"
"FGG","P02679","IPR020837","Fibrinogen, conserved site"
"GYPA","P02724","IPR001195","Glycophorin"
"GYPA","P02724","IPR018938","Glycophorin, conserved site"
"APCS","P02743","IPR001759","Pentraxin-related"
"APCS","P02743","IPR013320","Concanavalin A-like lectin/glucanase domain"
"APCS","P02743","IPR030476","Pentaxin, conserved site"
"FN1","P02751","IPR000083","Fibronectin, type I"
"FN1","P02751","IPR000562","Fibronectin, type II, collagen-binding"
"FN1","P02751","IPR003961","Fibronectin type III"
"FN1","P02751","IPR013783","Immunoglobulin-like fold"
"FN1","P02751","IPR013806","Kringle-like fold"
"AMBP","P02760","IPR000566","Lipocalin/cytosolic fatty-acid binding domain"
"AMBP","P02760","IPR002223","Pancreatic trypsin inhibitor Kunitz domain"
"AMBP","P02760","IPR002345","Lipocalin"
"AMBP","P02760","IPR002968","Alpha-1-microglobulin"
"AMBP","P02760","IPR012674","Calycin"
"AMBP","P02760","IPR020901","Proteinase inhibitor I2, Kunitz, conserved site"
"AMBP","P02760","IPR022272","Lipocalin family conserved site"
"AMBP","P02760","IPR029856","Protein AMBP"
"ORM1","P02763","IPR000566","Lipocalin/cytosolic fatty-acid binding domain"
"ORM1","P02763","IPR001500","Alpha-1-acid glycoprotein"
"ORM1","P02763","IPR012674","Calycin"
"AHSG","P02765","IPR000010","Cystatin domain"
"AHSG","P02765","IPR001363","Proteinase inhibitor I25C, fetuin, conserved site"
"AHSG","P02765","IPR025760","Fetuin-A-type cystatin domain"
"ALB","P02768","IPR000264","ALB/AFP/VDB"
"ALB","P02768","IPR014760","Serum albumin, N-terminal"
"ALB","P02768","IPR020857","Serum albumin, conserved site"
"ALB","P02768","IPR020858","Serum albumin-like"
"ALB","P02768","IPR021177","Serum albumin/Alpha-fetoprotein/Afamin"
"AFP","P02771","IPR000264","ALB/AFP/VDB"
"AFP","P02771","IPR014760","Serum albumin, N-terminal"
"AFP","P02771","IPR020857","Serum albumin, conserved site"
"AFP","P02771","IPR020858","Serum albumin-like"
"AFP","P02771","IPR021177","Serum albumin/Alpha-fetoprotein/Afamin"
"GC","P02774","IPR000213","Vitamin D-binding protein"
"GC","P02774","IPR000264","ALB/AFP/VDB"
"GC","P02774","IPR014760","Serum albumin, N-terminal"
"GC","P02774","IPR015247","Vitamin D binding protein, domain III"
"GC","P02774","IPR020857","Serum albumin, conserved site"
"GC","P02774","IPR020858","Serum albumin-like"
"TFRC","P02786","IPR003137","PA domain"
"TFRC","P02786","IPR007365","Transferrin receptor-like, dimerisation domain"
"TFRC","P02786","IPR007484","Peptidase M28"
"TFRC","P02786","IPR029513","Transferrin receptor protein 1"
"TF","P02787","IPR001156","Transferrin-like domain"
"TF","P02787","IPR016357","Transferrin"
"TF","P02787","IPR018195","Transferrin family, iron binding site"
"TF","P02787","IPR030685","Serotransferrin, mammalian"
"LTF","P02788","IPR001156","Transferrin-like domain"
"LTF","P02788","IPR016357","Transferrin"
"LTF","P02788","IPR018195","Transferrin family, iron binding site"
"LTF","P02788","IPR030684","Lactotransferrin"
"ESR1","P03372","IPR000536","Nuclear hormone receptor, ligand-binding domain"
"ESR1","P03372","IPR001292","Oestrogen receptor"
"ESR1","P03372","IPR001628","Zinc finger, nuclear hormone receptor-type"
"ESR1","P03372","IPR001723","Nuclear hormone receptor"
"ESR1","P03372","IPR013088","Zinc finger, NHR/GATA-type"
"ESR1","P03372","IPR024178","Oestrogen receptor/oestrogen-related receptor"
"ESR1","P03372","IPR024736","Oestrogen-type nuclear receptor final C-terminal domain"
"MMP1","P03956","IPR000585","Hemopexin-like domain"
"MMP1","P03956","IPR001818","Peptidase M10, metallopeptidase"
"MMP1","P03956","IPR002477","Peptidoglycan binding-like"
"MMP1","P03956","IPR006026","Peptidase, metallopeptidase"
"MMP1","P03956","IPR018486","Hemopexin, conserved site"
"MMP1","P03956","IPR018487","Hemopexin-like repeats"
"MMP1","P03956","IPR021158","Peptidase M10A, cysteine switch, zinc binding site"
"MMP1","P03956","IPR021190","Peptidase M10A"
"MMP1","P03956","IPR024079","Metallopeptidase, catalytic domain"
"VTN","P04004","IPR000585","Hemopexin-like domain"
"VTN","P04004","IPR001212","Somatomedin B domain"
"VTN","P04004","IPR018486","Hemopexin, conserved site"
"VTN","P04004","IPR018487","Hemopexin-like repeats"
"VTN","P04004","IPR020436","Somatomedin B, chordata"
"PROC","P04070","IPR000152","EGF-type aspartate/asparagine hydroxylation site"
"PROC","P04070","IPR000294","Gamma-carboxyglutamic acid-rich (GLA) domain"
"PROC","P04070","IPR000742","EGF-like domain"
"PROC","P04070","IPR001254","Serine proteases, trypsin domain"
"PROC","P04070","IPR001314","Peptidase S1A, chymotrypsin family"
"PROC","P04070","IPR001881","EGF-like calcium-binding domain"
"PROC","P04070","IPR009003","Peptidase S1, PA clan"
"PROC","P04070","IPR013032","EGF-like, conserved site"
"PROC","P04070","IPR017857","Coagulation factor, subgroup, Gla domain"
"PROC","P04070","IPR018097","EGF-like calcium-binding, conserved site"
"PROC","P04070","IPR018114","Serine proteases, trypsin family, histidine active site"
"PROC","P04070","IPR033116","Serine proteases, trypsin family, serine active site"
"APOB","P04114","IPR001747","Lipid transport protein, N-terminal"
"APOB","P04114","IPR009454","Lipid transport, open beta-sheet"
"APOB","P04114","IPR011030","Vitellinogen, superhelical"
"APOB","P04114","IPR015255","Vitellinogen, open beta-sheet"
"APOB","P04114","IPR015816","Vitellinogen, beta-sheet N-terminal"
"APOB","P04114","IPR015817","Vitellinogen, open beta-sheet, subdomain 1"
"APOB","P04114","IPR015819","Lipid transport protein, beta-sheet shell"
"APOB","P04114","IPR016024","Armadillo-type fold"
"APOB","P04114","IPR022176","Apolipoprotein B100 C-terminal"
"LCAT","P04180","IPR003386","Lecithin:cholesterol/phospholipid:diacylglycerol acyltransferase"
"LCAT","P04180","IPR029058","Alpha/Beta hydrolase fold"
"VWF","P04275","IPR001007","VWFC domain"
"VWF","P04275","IPR001846","von Willebrand factor, type D domain"
"VWF","P04275","IPR002035","von Willebrand factor, type A"
"VWF","P04275","IPR002919","Trypsin Inhibitor-like, cysteine rich domain"
"VWF","P04275","IPR006207","Cystine knot, C-terminal"
"VWF","P04275","IPR012011","von Willebrand factor"
"VWF","P04275","IPR014853","Uncharacterised domain, cysteine-rich"
"VWF","P04275","IPR032361","von Willebrand factor, VWA N-terminal domain"
"SHBG","P04278","IPR001791","Laminin G domain"
"SHBG","P04278","IPR013320","Concanavalin A-like lectin/glucanase domain"
"AMY1A","P04745","",""
"AMY1B","P04745","",""
"AMY1B","P04745","IPR006046","Alpha amylase"
"AMY1B","P04745","IPR006047","Glycosyl hydrolase, family 13, catalytic domain"
"AMY1B","P04745","IPR006048","Alpha-amylase/branching enzyme, C-terminal all beta"
"AMY1B","P04745","IPR017853","Glycoside hydrolase superfamily"
"AMY1B","P04745","IPR031319","Alpha-amylase, C-terminal domain"
"AMY1C","P04745","IPR006046","Alpha amylase"
"AMY1C","P04745","IPR006047","Glycosyl hydrolase, family 13, catalytic domain"
"AMY1C","P04745","IPR006048","Alpha-amylase/branching enzyme, C-terminal all beta"
"AMY1C","P04745","IPR017853","Glycoside hydrolase superfamily"
"AMY1C","P04745","IPR031319","Alpha-amylase, C-terminal domain"
"IFNW1","P05000","IPR000471","Interferon alpha/beta/delta"
"IFNW1","P05000","IPR009079","Four-helical cytokine-like, core"
"APP","P05067","IPR002223","Pancreatic trypsin inhibitor Kunitz domain"
"APP","P05067","IPR008154","Amyloidogenic glycoprotein, extracellular"
"APP","P05067","IPR008155","Amyloidogenic glycoprotein"
"APP","P05067","IPR011178","Amyloidogenic glycoprotein, copper-binding"
"APP","P05067","IPR013803","Amyloidogenic glycoprotein, amyloid-beta peptide"
"APP","P05067","IPR015849","Amyloidogenic glycoprotein, heparin-binding"
"APP","P05067","IPR019543","Beta-amyloid precursor protein C-terminal"
"APP","P05067","IPR019744","Amyloidogenic glycoprotein, extracellular domain conserved site"
"APP","P05067","IPR019745","Amyloidogenic glycoprotein, intracellular domain, conserved site"
"APP","P05067","IPR020901","Proteinase inhibitor I2, Kunitz, conserved site"
"APP","P05067","IPR024329","Amyloidogenic glycoprotein, E2 domain"
"APP","P05067","IPR028866","Amyloid beta A4 protein"
"MPO","P05164","IPR010255","Haem peroxidase"
"MPO","P05164","IPR019791","Haem peroxidase, animal type"
"MPO","P05164","IPR029609","Myeloperoxidase"
"ITGB1","P05556","IPR002035","von Willebrand factor, type A"
"ITGB1","P05556","IPR002369","Integrin beta subunit, VWA domain"
"ITGB1","P05556","IPR012896","Integrin beta subunit, tail"
"ITGB1","P05556","IPR013111","EGF-like domain, extracellular"
"ITGB1","P05556","IPR014836","Integrin beta subunit, cytoplasmic domain"
"ITGB1","P05556","IPR015812","Integrin beta subunit"
"ITGB1","P05556","IPR016201","PSI domain"
"ITGB1","P05556","IPR027071","Integrin beta-1 subunit"
"ITGB1","P05556","IPR032695","Integrin domain"
"ITGB1","P05556","IPR033760","Integrin beta N-terminal"
"KRT18","P05783","IPR001664","Intermediate filament protein"
"KRT18","P05783","IPR002957","Keratin, type I"
"KRT18","P05783","IPR018039","Intermediate filament protein, conserved site"
"KRT18","P05783","IPR027695","Keratin, type I cytoskeletal 18"
"KRT18","P05783","",""
"KRT8","P05787","IPR001664","Intermediate filament protein"
"KRT8","P05787","IPR003054","Keratin, type II"
"KRT8","P05787","IPR018039","Intermediate filament protein, conserved site"
"KRT8","P05787","IPR032444","Keratin type II head"
"GYPB","P06028","IPR001195","Glycophorin"
"GYPB","P06028","IPR018938","Glycophorin, conserved site"
"CD5","P06127","IPR001190","SRCR domain"
"CD5","P06127","IPR003566","T-cell surface glycoprotein CD5"
"CD5","P06127","IPR017448","SRCR-like domain"
"CD2","P06729","IPR007110","Immunoglobulin-like domain"
"CD2","P06729","IPR008424","Immunoglobulin C2-set"
"CD2","P06729","IPR013106","Immunoglobulin V-set domain"
"CD2","P06729","IPR013783","Immunoglobulin-like fold"
"CD2","P06729","IPR015632","T-cell surface antigen CD2"
"KLK1","P06870","IPR001254","Serine proteases, trypsin domain"
"KLK1","P06870","IPR001314","Peptidase S1A, chymotrypsin family"
"KLK1","P06870","IPR009003","Peptidase S1, PA clan"
"KLK1","P06870","IPR018114","Serine proteases, trypsin family, histidine active site"
"KLK1","P06870","IPR033116","Serine proteases, trypsin family, serine active site"
"THBD","P07204","IPR000152","EGF-type aspartate/asparagine hydroxylation site"
"THBD","P07204","IPR000742","EGF-like domain"
"THBD","P07204","IPR001304","C-type lectin-like"
"THBD","P07204","IPR001881","EGF-like calcium-binding domain"
"THBD","P07204","IPR009030","Growth factor receptor cysteine-rich domain"
"THBD","P07204","IPR013032","EGF-like, conserved site"
"THBD","P07204","IPR015149","Thrombomodulin-like, EGF-like"
"THBD","P07204","IPR016186","C-type lectin-like/link domain"
"THBD","P07204","IPR016187","C-type lectin fold"
"THBD","P07204","IPR016316","Thrombomodulin"
"THBD","P07204","IPR018097","EGF-like calcium-binding, conserved site"
"THBD","P07204","IPR026823","Complement Clr-like EGF domain"
"GP1BA","P07359","IPR000372","Leucine-rich repeat N-terminal domain"
"GP1BA","P07359","IPR000483","Cysteine-rich flanking region, C-terminal"
"GP1BA","P07359","IPR001611","Leucine-rich repeat"
"GP1BA","P07359","IPR003591","Leucine-rich repeat, typical subtype"
"GP1BA","P07359","IPR032675","Leucine-rich repeat domain, L domain-like"
"CSN3","P07498","IPR000117","Kappa casein"
"PSAP","P07602","IPR003119","Saposin A-type domain"
"PSAP","P07602","IPR007856","Saposin-like type B, region 1"
"PSAP","P07602","IPR008138","Saposin B type, region 2"
"PSAP","P07602","IPR008139","Saposin B type domain"
"PSAP","P07602","IPR008373","Saposin"
"PSAP","P07602","IPR011001","Saposin-like"
"PSAP","P07602","IPR021165","Saposin, chordata"
"UMOD","P07911","IPR000152","EGF-type aspartate/asparagine hydroxylation site"
"UMOD","P07911","IPR000742","EGF-like domain"
"UMOD","P07911","IPR001507","Zona pellucida domain"
"UMOD","P07911","IPR001881","EGF-like calcium-binding domain"
"UMOD","P07911","IPR009030","Growth factor receptor cysteine-rich domain"
"UMOD","P07911","IPR013032","EGF-like, conserved site"
"UMOD","P07911","IPR017977","Zona pellucida domain, conserved site"
"UMOD","P07911","IPR018097","EGF-like calcium-binding, conserved site"
"UMOD","P07911","IPR024731","EGF domain"
"THBS1","P07996","IPR000742","EGF-like domain"
"THBS1","P07996","IPR000884","Thrombospondin type-1 (TSP1) repeat"
"THBS1","P07996","IPR001007","VWFC domain"
"THBS1","P07996","IPR001791","Laminin G domain"
"THBS1","P07996","IPR001881","EGF-like calcium-binding domain"
"THBS1","P07996","IPR003367","Thrombospondin, type 3-like repeat"
"THBS1","P07996","IPR008859","Thrombospondin, C-terminal"
"THBS1","P07996","IPR013032","EGF-like, conserved site"
"THBS1","P07996","IPR013320","Concanavalin A-like lectin/glucanase domain"
"THBS1","P07996","IPR017897","Thrombospondin, type 3 repeat"
"THBS1","P07996","IPR028499","Thrombospondin-1"
"THBS1","P07996","IPR028974","TSP type-3 repeat"
"SP1","P08047","IPR013087","Zinc finger C2H2-type"
"RHO","P08100","IPR000276","G protein-coupled receptor, rhodopsin-like"
"RHO","P08100","IPR000732","Rhodopsin"
