#Unique identifier for interactor A	Unique identifier for interactor B	Alternative identifier for interactor A	Alternative identifier for interactor B	Aliases for A	Aliases for B	Interaction detection methods	First author	Identifier of the publication	NCBI Taxonomy identifier for interactor A	NCBI Taxonomy identifier for interactor B	Interaction types	Source databases	Interaction identifier(s)	Confidence score	Complex expansion	Biological role A	Biological role B	Experimental role A	Experimental role B	Interactor type A	Interactor type B	Xref for interactor A	Xref for interactor B	Xref for the interaction	Annotations for interactor A	Annotations for interactor B	Annotations for the interaction	NCBI Taxonomy identifier for the host organism	Parameters of the interaction	Creation date	Update date	Checksum for interactor A	Checksum for interactor B	Checksum for interaction	negative	Feature(s) for interactor A	Feature(s) for interactor B	Stoichiometry for interactor A	Stoichiometry for interactor B	Participant identification method for interactor A	Participant identification method for interactor B
chebi:"CHEBI:29108"	uniprotkb:P07214	matrixdb:CAT_3	matrixdb:P07214	matrixdb:Calcium(short label)	uniprotkb:sparc(gene name)	psi-mi:"MI:0017"(classical fluorescence spectroscopy)	Maurer et al.(1992)	pubmed:1555584|imex:IM-14109	-	taxid:10090("Mus musculus")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:CAT_3__P07214_1555584_MatrixDB_2|imex:IM-14109-2	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0328"(small molecule)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Figure 2"	taxid:-1("in vitro")	kd:300(nanomolar)	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
chebi:"CHEBI:29108"	uniprotkb:P07214	matrixdb:CAT_3	matrixdb:P07214	matrixdb:Calcium(short label)	uniprotkb:sparc(gene name)	psi-mi:"MI:0892"(solid phase assay)	Mayer et al.(1991)	pubmed:2040276|imex:IM-14105	-	taxid:10090("Mus musculus")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:CAT_3__P07214_2040276_MatrixDB_1|imex:IM-14105-5	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0328"(small molecule)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Figure 5"	taxid:-1("in vitro")	-	-	-	-	-	-	-	radiolabel:?-?	-	-	-	psi-mi:"MI:0833"(autoradiography)	psi-mi:"MI:0396"(predetermined participant)
chebi:"CHEBI:29108"	uniprotkb:P07214	matrixdb:CAT_3	matrixdb:P07214	matrixdb:Calcium(short label)	uniprotkb:sparc(gene name)	psi-mi:"MI:0047"(far western blotting)	Vernon et al.(1989)	pubmed:2775822|imex:IM-14106	-	taxid:10090("Mus musculus")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:CAT_3__P07214_2775822_MatrixDB_1|imex:IM-14106-2	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0328"(small molecule)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Figure 9"	taxid:-1("in vitro")	-	-	-	-	-	-	-	radiolabel:?-?	-	-	-	psi-mi:"MI:0833"(autoradiography)	psi-mi:"MI:0816"(molecular weight estimation by staining)
chebi:"CHEBI:29108"	uniprotkb:P09486	matrixdb:CAT_3	matrixdb:P09486	matrixdb:Calcium(short label)	uniprotkb:sparc(gene name)	psi-mi:"MI:0017"(classical fluorescence spectroscopy)	Busch et al.(2000)	pubmed:10801822|imex:IM-14102	-	taxid:9606("Homo sapiens")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:CAT_3__P09486_10801822_MatrixDB_1|imex:IM-14102-1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0328"(small molecule)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Macroscopic KD values of 11750 and 56 nM were obtained as best fit parameters for the EC domain"|comment:"Figure 2A"	taxid:-1("in vitro")	kd:490(nanomolar)	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
chebi:"CHEBI:29108"	uniprotkb:P13213	matrixdb:CAT_3	matrixdb:P13213	matrixdb:Calcium(short label)	uniprotkb:sparc(gene name)	psi-mi:"MI:0047"(far western blotting)	Sage et al.(1989)	pubmed:2745554|imex:IM-14089	-	taxid:9913("Bos taurus")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:CAT_3__P13213_2745554_MatrixDB_1|imex:IM-14089-1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0328"(small molecule)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Figure 2"	taxid:-1("in vitro")	-	-	-	-	-	-	-	radiolabel:?-?	-	-	-	psi-mi:"MI:0833"(autoradiography)	psi-mi:"MI:0396"(predetermined participant)
uniprotkb:P98160-PRO_0000391621	chebi:"CHEBI:29108"	matrixdb:PFRAG_6_human	matrixdb:CAT_3	matrixdb:"Endorepellin"(short label)|matrixdb:"C terminal domain of perlecan"(synonym)	matrixdb:Calcium(short label)	psi-mi:"MI:0892"(solid phase assay)	Gonzalez et al.(2005)	pubmed:15591058	taxid:9606("Homo sapiens")	-	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:CAT_3__PFRAG_6_human_15591058_MatrixDB_1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0328"(small molecule)	-	-	-	-	-	-	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
chebi:"CHEBI:29033"	uniprotkb:P07214	matrixdb:CAT_4	matrixdb:P07214	matrixdb:Iron(short label)	uniprotkb:sparc(gene name)	psi-mi:"MI:0047"(far western blotting)	Vernon et al.(1989)	pubmed:2775822|imex:IM-14106	-	taxid:10090("Mus musculus")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:CAT_4__P07214_2775822_MatrixDB_1|imex:IM-14106-3	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0328"(small molecule)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Figure 9"	taxid:-1("in vitro")	-	-	-	-	-	-	-	radiolabel:?-?	-	-	-	psi-mi:"MI:0833"(autoradiography)	psi-mi:"MI:0816"(molecular weight estimation by staining)
chebi:"CHEBI:28304"	chebi:"CHEBI:28815"	matrixdb:GAG_1	matrixdb:GAG_2	matrixdb:Heparin(short label)	matrixdb:Heparan Sulfate(short label)	psi-mi:"MI:0107"(surface plasmon resonance)	Chomel et al.(2009)	pubmed:19019854	-	-	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:GAG_1__GAG_2_19019854_MatrixDB_1	-	-	psi-mi:"MI:0941"(competitor)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0904"(polysaccharide)	psi-mi:"MI:0904"(polysaccharide)	-	-	-	-	-	-	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
chebi:"CHEBI:28304"	uniprotkb:M0RBP3	matrixdb:GAG_1	matrixdb:M0RBP3	matrixdb:Heparin(short label)	uniprotkb:NXPE1(gene name)	psi-mi:"MI:0400"(affinity technology)	Ori et al.(2011)	pubmed:21454685|imex:IM-25784	-	taxid:10116("Rattus norvegicus")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:GAG_1__M0RBP3_21454685_MatrixDB_1|imex:IM-25784-1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0904"(polysaccharide)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0102"(sequence tag identification)	psi-mi:"MI:0102"(sequence tag identification)
ebi:EBI-9249158	chebi:"CHEBI:28304"	matrixdb:MULT_1_mouse	matrixdb:GAG_1	matrixdb:Laminin-111(short label)	matrixdb:Heparin(short label)	psi-mi:"MI:0921"(surface plasmon resonance array)	Faye et al.(2009)	pubmed:19542224	taxid:10090("Mus musculus")	-	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:GAG_1__MULT_1_mouse_19542224_MatrixDB_1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0315"(protein complex)	psi-mi:"MI:0904"(polysaccharide)	-	-	-	-	-	-	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
ebi:EBI-9551344	chebi:"CHEBI:28304"	matrixdb:MULT_3_bovine	matrixdb:GAG_1	matrixdb:Collagen-I(short label)	matrixdb:Heparin(short label)	psi-mi:"MI:0107"(surface plasmon resonance)	Ricard-Blum et al.(2006)	pubmed:16815843	taxid:9913("Bos taurus")	-	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:GAG_1__MULT_3_bovine_16815843_MatrixDB_1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0315"(protein complex)	psi-mi:"MI:0904"(polysaccharide)	-	-	-	-	-	-	taxid:-1("in vitro")	kd:3.4(nanomolar)	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
ebi:EBI-9551384	chebi:"CHEBI:28304"	matrixdb:MULT_3_chick	matrixdb:GAG_1	matrixdb:Collagen-I(short label)	matrixdb:Heparin(short label)	psi-mi:"MI:0040"(electron microscopy)	San et al.(1994)	pubmed:8195298	taxid:9031("Gallus gallus")	-	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:GAG_1__MULT_3_chick_8195298_MatrixDB_1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0315"(protein complex)	psi-mi:"MI:0904"(polysaccharide)	-	-	-	-	-	comment:"Experiments performed with procollagen"|comment:"Figure 3"	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
ebi:EBI-9551384	chebi:"CHEBI:28304"	matrixdb:MULT_3_chick	matrixdb:GAG_1	matrixdb:Collagen-I(short label)	matrixdb:Heparin(short label)	psi-mi:"MI:0413"(electrophoretic mobility shift assay)	Sweeney et al.(1998)	pubmed:9636139	taxid:9031("Gallus gallus")	-	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:GAG_1__MULT_3_chick_9636139_MatrixDB_1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0315"(protein complex)	psi-mi:"MI:0904"(polysaccharide)	-	-	-	-	-	-	taxid:-1("in vitro")	kd:150(nanomolar)	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0078"(nucleotide sequence identification)	psi-mi:"MI:0396"(predetermined participant)
